,節,開催日,Team,awayTeam,homeScore,awayScore,H or A_x,AGI_x,KAGI_x,CBP_x,shot_x,shot acc_x,possession_x,ACBP_x,PassCBP_x,InterceptP_x,DP_x,H or A_y,AGI_y,KAGI_y,CBP_y,shot_y,shot acc_y,possession_y,ACBP_y,PassCBP_y,InterceptP_y,DP_y
208,2,7.4,川崎Ｆ,鹿島,2,1,H,56,46,10.8%,12,16.7%,51.1%,14.67,11.57,74.8,16.9,A,54,44,13.1%,14,0.0%,48.9%,12.47,10.16,89.74,10.41
396,3,7.8,名古屋,Ｇ大阪,2,2,H,52,51,7.3%,8,25.0%,40.9%,12.97,11.84,83.12,15.65,A,49,48,12.1%,13,15.4%,59.1%,21.07,17.44,85.9,10.84
38,3,7.8,仙台,浦和,1,2,H,52,44,13.2%,16,6.3%,45.7%,15.71,10.21,98.23,12.57,A,56,48,14.9%,17,11.8%,54.3%,19.32,14.95,98.53,15.23
462,3,7.8,Ｃ大阪,清水,2,0,H,60,59,16.4%,18,11.1%,55.6%,25.03,17.8,99.07,11.58,A,41,40,11.3%,11,0.0%,44.4%,15.04,10.96,82.72,13.5
68,3,7.8,鹿島,札幌,0,2,H,47,66,18.3%,20,0.0%,53.8%,16.57,15.09,108.15,11.59,A,34,53,6.5%,7,28.6%,46.2%,13.19,11.99,76.32,17.79
572,3,7.8,鳥栖,神戸,0,1,H,42,52,12.2%,12,0.0%,35.2%,8.44,6.37,77.6,15.76,A,48,58,8.7%,9,11.1%,64.8%,23.17,21.28,84.26,10.49
150,3,7.8,柏,横浜FC,1,3,H,57,59,13.7%,16,6.3%,48.9%,14.64,10.76,99.52,8.55,A,41,43,3.4%,4,50.0%,51.1%,9.67,9.54,84.85,15.57
542,3,7.8,広島,大分,1,2,H,53,60,12.0%,12,8.3%,44.9%,17.37,13.44,56.77,13.14,A,40,47,15.8%,16,12.5%,55.1%,16.87,14.64,75.96,14.47
254,3,7.8,横浜FM,湘南,3,2,H,59,51,7.4%,10,30.0%,66.1%,20.86,17.99,75.59,10.16,A,49,41,7.8%,11,18.2%,33.9%,9.1,5.72,116.64,20.08
180,3,7.8,FC東京,川崎Ｆ,0,4,H,57,27,10.2%,12,0.0%,43.5%,12.75,10.62,88.09,10.67,A,73,43,14.7%,17,23.5%,56.5%,27.54,23.88,98.02,13.65
464,4,7.12,Ｃ大阪,名古屋,0,2,H,48,50,9.7%,11,0.0%,62.1%,19.49,17.05,84.33,8.04,A,50,52,12.0%,12,8.3%,37.9%,10.27,9.25,95.99,12.35
574,4,7.12,鳥栖,広島,0,0,H,37,52,5.3%,6,0.0%,55.7%,13.16,11.02,95.57,14.78,A,48,63,10.6%,12,0.0%,44.3%,15.5,12.51,109.16,11.44
274,4,7.12,横浜FC,仙台,1,1,H,51,38,4.9%,6,16.7%,59.3%,15.69,13.24,71.35,16.29,A,62,49,10.3%,13,7.7%,40.7%,13.33,7.74,124.63,13.03
248,4,7.12,横浜FM,FC東京,1,3,H,66,59,6.4%,9,11.1%,65.1%,27.53,24.35,90.1,7.34,A,41,34,5.7%,8,37.5%,34.9%,5.46,4.13,132.06,25.87
306,4,7.12,湘南,札幌,0,0,H,50,50,13.1%,14,0.0%,52.6%,12.01,11.03,89.07,13.23,A,50,50,6.7%,7,0.0%,47.4%,16.32,13.93,70.91,14.59
106,4,7.12,浦和,鹿島,1,0,H,51,55,4.8%,6,16.7%,41.7%,7.74,7.08,88.5,20.06,A,45,49,5.9%,7,0.0%,58.3%,14.03,12.09,90.09,11.74
