,試合日,チーム名,スコア,攻撃,パス,クロス,ドリブル,シュート,ゴール,奪取,守備,セーブ,攻撃回数,シュート,チャンス構築率,ゴール,成功率,被攻撃回数,被シュート,被チャンス構築率,被ゴール,被成功率,ゴール期待値,ゴール,被ゴール期待値,被ゴール,総移動距離,相手との移動距離差,スプリント数,相手とのスプリント数差,ゴール,シュート,枠内シュート,パス,クロス,直接ＦＫ,間接ＦＫ,ＣＫ,スローイン,ドリブル,タックル,クリア,インターセプト,オフサイド,警告,退場,３０ｍライン進入,ペナルティエリア進入
away,2021-6-23-19:00,FC東京,1,13.58,11.04,1.44,1.1,6.11,3.8,90.11,14.05,0.34,119.3,11.0,9.3%,1.3,12.2%,118.6,13.3,11.2%,1.3,10.2%,1.145,1.3,1.34,1.3,111.544km,-2.040km,189.2,11.7,1.3,11.0,3.4,409.9,11.7,12.3,1.2,4.9,22.3,10.3,18.4,19.7,1.2,1.3,1.0,0.0,33.5,11.0
home,2021-6-27-18:00,徳島,0,13.50,11.60,0.85,1.05,4.88,2.08,90.96,12.73,0.27,113.7,10.0,8.8%,0.8,7.8%,114.1,11.0,9.6%,1.1,10.3%,0.948,0.8,1.184,1.1,116.381km,-0.315km,162.8,-12.4,0.8,10.0,2.6,530.3,9.9,11.0,1.1,4.0,21.5,10.1,17.6,18.4,1.7,1.3,0.9,0.0,36.8,8.0
away,2021-6-27-18:00,横浜FM,1,21.59,17.95,2.46,1.18,9.57,4.6,103.68,11.16,0.38,128.0,16.4,12.8%,1.9,11.4%,123.5,10.6,8.6%,0.9,8.6%,1.919,1.9,1.2409999999999999,0.9,121.445km,1.338km,214.0,22.2,1.9,16.4,5.7,664.4,21.4,11.2,3.0,6.2,24.7,10.1,18.2,16.7,1.6,1.9,1.3,0.0,58.5,17.4
home,2021-3-21-14:00,徳島,2,13.50,11.60,0.85,1.05,4.88,2.08,90.96,12.73,0.27,113.7,10.0,8.8%,0.8,7.8%,114.1,11.0,9.6%,1.1,10.3%,0.948,0.8,1.184,1.1,116.381km,-0.315km,162.8,-12.4,0.8,10.0,2.6,530.3,9.9,11.0,1.1,4.0,21.5,10.1,17.6,18.4,1.7,1.3,0.9,0.0,36.8,8.0
away,2021-3-21-14:00,横浜FC,1,11.71,9.64,1.22,0.85,5.02,2.04,86.87,13.8,0.57,115.3,9.7,8.4%,0.7,6.7%,114.7,15.2,13.2%,2.2,14.3%,0.948,0.7,1.983,2.2,116.138km,-1.025km,166.1,-12.6,0.7,9.7,3.0,431.4,13.5,10.2,2.3,3.7,24.0,8.3,18.3,21.8,1.3,1.0,1.0,0.0,32.0,7.5
home,2021-5-30-15:00,徳島,1,13.50,11.60,0.85,1.05,4.88,2.08,90.96,12.73,0.27,113.7,10.0,8.8%,0.8,7.8%,114.1,11.0,9.6%,1.1,10.3%,0.948,0.8,1.184,1.1,116.381km,-0.315km,162.8,-12.4,0.8,10.0,2.6,530.3,9.9,11.0,1.1,4.0,21.5,10.1,17.6,18.4,1.7,1.3,0.9,0.0,36.8,8.0
away,2021-5-30-15:00,湘南,1,11.19,8.88,1.48,0.83,4.79,2.83,101.68,14.98,0.51,123.4,10.3,8.3%,1.0,9.3%,125.5,12.7,10.1%,1.3,10.3%,1.042,1.0,1.335,1.3,115.690km,1.765km,181.6,10.3,1.0,10.3,3.0,366.4,12.9,10.4,1.4,4.2,24.8,8.9,20.8,21.5,1.7,1.5,0.8,0.1,29.7,8.7
home,2021-7-11-18:00,徳島,2,13.50,11.60,0.85,1.05,4.88,2.08,90.96,12.73,0.27,113.7,10.0,8.8%,0.8,7.8%,114.1,11.0,9.6%,1.1,10.3%,0.948,0.8,1.184,1.1,116.381km,-0.315km,162.8,-12.4,0.8,10.0,2.6,530.3,9.9,11.0,1.1,4.0,21.5,10.1,17.6,18.4,1.7,1.3,0.9,0.0,36.8,8.0
away,2021-7-11-18:00,清水,2,11.47,9.08,1.53,0.86,5.89,2.59,79.62,14.75,0.49,106.3,11.3,10.6%,1.0,8.5%,110.7,12.3,11.2%,1.4,11.3%,1.137,1.0,1.205,1.4,118.300km,0.989km,160.0,-1.0,1.0,11.3,3.4,408.7,13.1,9.8,1.0,3.8,21.6,9.3,14.6,27.1,2.0,1.1,0.6,0.0,28.8,8.8
home,2021-5-22-18:00,徳島,0,13.50,11.60,0.85,1.05,4.88,2.08,90.96,12.73,0.27,113.7,10.0,8.8%,0.8,7.8%,114.1,11.0,9.6%,1.1,10.3%,0.948,0.8,1.184,1.1,116.381km,-0.315km,162.8,-12.4,0.8,10.0,2.6,530.3,9.9,11.0,1.1,4.0,21.5,10.1,17.6,18.4,1.7,1.3,0.9,0.0,36.8,8.0
